body,bodyId,ordinal,preShadowStartDegree,preShadowStartJulianDayUT,preShadowStartUTC,retrogradeStationDegree,retrogradeStationJulianDayUT,retrogradeStationUTC,directStationDegree,directStationJulianDayUT,directStationUTC,postShadowEndDegree,postShadowEndJulianDayUT,postShadowEndUTC
Mercury,2,1006,75.88949504744303,2413693.8913811482,1896-05-14T09:23:35.331Z,84.50665742698115,2413708.8901572376,1896-05-29T09:21:49.585Z,75.88949504744303,2413732.881968707,1896-06-22T09:10:02.096Z,84.50665742698115,2413747.6569141634,1896-07-07T03:45:57.384Z
Neptune,8,318,77.49449299813597,2413711.63779255,1896-06-01T03:18:25.276Z,80.31004411766321,2413825.1964464737,1896-09-22T16:42:52.975Z,77.49449299813597,2413981.688015149,1897-02-26T04:30:44.509Z,80.31004411766321,2414094.5065766387,1897-06-19T00:09:28.222Z
Mars,4,149,71.5667929856041,2413808.071942022,1896-09-05T13:43:35.791Z,89.40932336517744,2413865.7832261035,1896-11-02T06:47:50.735Z,71.5667929856041,2413940.8457619,1897-01-16T08:17:53.828Z,89.40932336517744,2414004.226624202,1897-03-20T17:26:20.331Z
Mercury,2,1007,189.55138476658854,2413808.580604974,1896-09-06T01:56:04.270Z,204.94378624604573,2413828.9500349388,1896-09-26T10:48:03.019Z,189.55138476658854,2413850.3053004816,1896-10-17T19:19:37.962Z,204.94378624604573,2413865.7741851173,1896-11-02T06:34:49.594Z
Jupiter,5,293,150.22157130787315,2413831.924823221,1896-09-29T10:11:44.726Z,160.22394702077568,2413918.979652807,1896-12-25T11:30:42.003Z,150.22157130787315,2414040.8304677457,1897-04-26T07:55:52.413Z,160.22394702077568,2414130.3436939456,1897-07-24T20:14:55.157Z
Uranus,7,316,234.98257539350618,2413883.1850802246,1896-11-19T16:26:30.931Z,239.04259459487199,2413987.0924743405,1897-03-03T14:13:09.783Z,234.98257539350618,2414139.527925211,1897-08-03T00:40:12.738Z,239.04259459487199,2414245.4017565306,1897-11-16T21:38:31.764Z
Saturn,6,309,234.11848271328446,2413897.174451638,1896-12-03T16:11:12.622Z,240.76639233247698,2413993.3047613353,1897-03-09T19:18:51.379Z,234.11848271328446,2414133.8437353373,1897-07-28T08:14:58.733Z,240.76639233247698,2414232.068898428,1897-11-03T13:39:12.824Z
Mercury,2,1008,293.87579701152447,2413922.1366034783,1896-12-28T15:16:42.541Z,309.8031641547935,2413938.1582605913,1897-01-13T15:47:53.715Z,293.87579701152447,2413958.8987696767,1897-02-03T09:34:13.700Z,309.8031641547935,2413978.99669851,1897-02-23T11:55:14.751Z
Venus,3,200,30.475150295852615,2413988.9149871804,1897-03-05T09:57:34.892Z,46.927600974692126,2414021.9864771534,1897-04-07T11:40:31.626Z,30.475150295852615,2414064.5898594167,1897-05-20T02:09:23.854Z,46.927600974692126,2414098.357065659,1897-06-22T20:34:10.473Z
Mercury,2,1009,55.88055734956642,2414040.1765618734,1897-04-25T16:14:14.946Z,64.60425106959278,2414054.437496111,1897-05-09T22:29:59.664Z,55.88055734956642,2414078.2834509984,1897-06-02T18:48:10.166Z,64.60425106959278,2414093.8232479654,1897-06-18T07:45:28.624Z
Pluto,9,319,72.72674088389465,2414057.417056039,1897-05-12T22:00:33.642Z,74.72875972779325,2414181.434461423,1897-09-13T22:25:37.467Z,72.72674088389465,2414345.680771931,1898-02-25T04:20:18.695Z,74.72875972779325,2414468.6551436223,1898-06-28T03:43:24.409Z
Neptune,8,319,79.73643265322505,2414079.116236698,1897-06-03T14:47:22.851Z,82.55328099297542,2414192.69525439,1897-09-25T04:41:09.979Z,79.73643265322505,2414349.174013757,1898-02-28T16:10:34.789Z,82.55328099297542,2414462.1179332538,1898-06-21T14:49:49.433Z
Mercury,2,1010,173.63781169133455,2414156.6165925898,1897-08-20T02:47:53.600Z,188.42751986187415,2414176.9096040726,1897-09-09T09:49:49.792Z,173.63781169133455,2414199.0649607554,1897-10-01T13:33:32.609Z,188.42751986187415,2414213.9256449006,1897-10-16T10:12:55.719Z
Jupiter,5,294,180.34424587539593,2414226.9017798714,1897-10-29T09:38:33.781Z,190.28890762673032,2414314.011811696,1898-01-24T12:17:00.531Z,180.34424587539593,2414437.0458944216,1898-05-27T13:06:05.278Z,190.28890762673032,2414526.747150097,1898-08-25T05:55:53.768Z
Uranus,7,317,239.50281543900786,2414252.841368215,1897-11-24T08:11:34.214Z,243.55228161709266,2414356.862164852,1898-03-08T08:41:31.043Z,239.50281543900786,2414509.4893157994,1898-08-07T23:44:36.885Z,243.55228161709266,2414615.3032494243,1898-11-21T19:16:40.750Z
Mercury,2,1011,277.60856900737235,2414270.2191462032,1897-12-11T17:15:34.232Z,293.81240696537435,2414287.065387942,1897-12-28T13:34:09.518Z,277.60856900737235,2414307.256138578,1898-01-17T18:08:50.373Z,293.81240696537435,2414326.972419087,1898-02-06T11:20:17.009Z
Saturn,6,310,245.6504723396004,2414273.681212608,1897-12-15T04:20:56.769Z,252.27634333672262,2414370.1349700987,1898-03-21T15:14:21.417Z,245.6504723396004,2414511.122415237,1898-08-09T14:56:16.676Z,252.27634333672262,2414609.1694778837,1898-11-15T16:04:02.889Z
Mercury,2,1012,35.644714444113276,2414386.3763445057,1898-04-06T21:01:56.165Z,45.309768289587474,2414400.2559702694,1898-04-20T18:08:35.831Z,35.644714444113276,2414424.049044363,1898-05-14T13:10:37.433Z,45.309768289587474,2414440.632099021,1898-05-31T03:10:13.355Z
Pluto,9,320,73.71009748565928,2414423.66877703,1898-05-14T04:03:02.335Z,75.71624985941274,2414547.6498130476,1898-09-15T03:35:43.847Z,73.71009748565928,2414711.9632407976,1899-02-26T11:07:04.005Z,75.71624985941274,2414834.903982356,1899-06-29T09:41:44.076Z
Neptune,8,320,81.97498383445244,2414446.5947798826,1898-06-06T02:16:28.982Z,84.79279594593723,2414560.190327489,1898-09-27T16:34:04.295Z,81.97498383445244,2414716.73832946,1899-03-03T05:43:11.665Z,84.79279594593723,2414829.717859896,1899-06-24T05:13:43.095Z
Mercury,2,1013,157.4651411434421,2414504.7302561365,1898-08-03T05:31:34.130Z,171.4013506365748,2414524.6148602217,1898-08-23T02:45:23.923Z,157.4651411434421,2414547.562323086,1898-09-15T01:29:44.715Z,171.4013506365748,2414561.964858588,1898-09-29T11:09:23.782Z
Mars,4,150,109.41854158021506,2414569.934444679,1898-10-07T10:25:36.020Z,128.67934598533293,2414633.333436665,1898-12-09T20:00:08.928Z,109.41854158021506,2414712.7461051242,1899-02-27T05:54:23.483Z,128.67934598533293,2414780.232927883,1899-05-05T17:35:24.969Z
Venus,3,201,241.9386855463682,2414572.7971469574,1898-10-10T07:07:53.497Z,257.22823462230764,2414604.6824437063,1898-11-11T04:22:43.136Z,241.9386855463682,2414645.6846894342,1898-12-22T04:25:57.167Z,257.22823462230764,2414677.020658076,1899-01-22T12:29:44.858Z
Mercury,2,1014,261.6264585563423,2414618.2737430222,1898-11-24T18:34:11.397Z,277.92872113947425,2414635.968229279,1898-12-12T11:14:15.010Z,261.6264585563423,2414655.819362685,1899-01-01T07:39:52.936Z,277.92872113947425,2414674.916012656,1899-01-20T09:59:03.493Z
Uranus,7,318,243.99273831908155,2414622.44841896,1898-11-28T22:45:43.398Z,248.03273938515377,2414726.5778276185,1899-03-13T01:52:04.306Z,243.99273831908155,2414879.361440218,1899-08-12T20:40:28.435Z,248.03273938515377,2414985.1965884212,1899-11-26T16:43:05.240Z
Jupiter,5,295,210.31590272396852,2414622.586965438,1898-11-29T02:05:13.814Z,220.20813636257932,2414709.5215962976,1899-02-24T00:31:05.920Z,210.31590272396852,2414833.0793544427,1899-06-27T13:54:16.224Z,220.20813636257932,2414921.906799797,1899-09-24T09:45:47.502Z
Saturn,6,311,257.07216631626864,2414650.172455769,1898-12-26T16:08:20.178Z,263.6829735546849,2414747.01011423,1899-04-02T12:14:33.869Z,257.07216631626864,2414888.2048836723,1899-08-21T16:55:01.949Z,263.6829735546849,2414986.0299799927,1899-11-27T12:43:10.271Z
