body,start_jd_ut,end_jd_ut,start_station_physical_degree,end_station_physical_degree,start_boundary,end_boundary
Mercury,2322865.4162584543,2322887.4268366555,187.4032052004529,172.4880637145157,station,station
Mercury,2322975.3969065836,2322995.6687690597,292.68559065041666,276.5208741931658,station,station
Mercury,2323089.0720801577,2323112.888155643,44.70011951638225,35.24085155777412,station,station
Mercury,2323213.166002797,2323235.9803985534,170.47084015980263,156.36360887792236,station,station
Mercury,2323324.3015665608,2323344.196690824,276.78026343198246,260.49270406397153,station,station
Mercury,2323435.443354057,2323459.1411385452,26.10091402600002,15.256213877205447,station,station
Mercury,2323560.615028846,2323584.1498460528,152.90277739124184,139.883678073218,station,station
Mercury,2323673.141410988,2323692.8957514456,260.95108214900597,244.66619443863775,station,station
Mercury,2323782.6167969666,2323805.9334788537,8.302802288173215,355.9146660320482,station,station
Mercury,2323907.7090799194,2323931.7511348613,134.5793948992595,122.88856129304338,station,station
Mercury,2324021.8597097564,2324041.72489334,245.13139664807107,228.94004595399258,station,station
Mercury,2324130.473541923,2324153.1860602973,351.14207753097344,337.37299780147043,station,station
Mercury,2324254.3861599592,2324278.6027544877,115.46939361269003,105.1869077988734,station,station
Mercury,2324370.416358916,2324390.639840872,229.2644298921986,213.2522163151144,station,station
Mercury,2324478.8224349758,2324500.814519071,334.4536710511883,319.61796268016803,station,station
Mercury,2324600.548981335,2324624.651743043,95.69140993659387,86.58507677926826,station,station
Mercury,2324718.775025988,2324739.5774486903,213.25606435334888,197.53833525677064,station,station
Mercury,2324827.4879782917,2324848.74335404,318.10239796267433,302.5371223383412,station,station
Mercury,2324946.219731059,2324970.161703361,75.64650366838785,67.08674363573454,station,station
Mercury,2325066.90787612,2325088.4549878165,197.00079050553146,181.7354996818907,station,station
Mercury,2325176.330890189,2325196.9233109374,301.9768141740866,285.96797930277575,station,station
Mercury,2325291.772100378,2325315.630267909,55.874663002135044,46.980908028249125,station,station
Mercury,2325414.7969682263,2325437.1667528152,180.37003395059003,165.77029945209867,station,station
Mercury,2325525.242882697,2325545.3281520633,286.01557159774114,269.78058593941614,station,station
Mercury,2325637.748990791,2325661.5208921516,36.793161162051064,26.787710709295975,station,station
Mercury,2325762.4243097976,2325785.5749236187,163.19575568990635,149.51942725823017,station,station
Mercury,2325874.133311307,2325893.929752997,270.1486064078638,253.84444707543838,station,station
Mercury,2325984.4647882534,2326008.016126655,18.542650525183166,7.036049414091824,station,station
Mercury,2326109.74675925,2326133.518273619,145.3293611686305,132.84799040483068,station,station
Mercury,2326222.9311616207,2326242.693783515,254.32514895004252,238.06514708214917,station,station
Mercury,2326331.94022079,2326355.034168073,1.031530397289195,348.02573616154876,station,station
Mercury,2326456.6774721583,2326480.8183168303,126.65426951702382,115.56526018186281,station,station
Mercury,2326571.5812206417,2326591.5724711465,238.49477736984494,222.36952439513252,station,station
Mercury,2326680.0268442184,2326702.453754876,344.09765344098776,329.8361986297755,station,station
Mercury,2326803.1190520525,2326827.332808815,107.21316889346451,97.4850810634494,station,station
Mercury,2326920.049889582,2326940.506651234,222.57988476417938,206.6820876307139,station,station
Mercury,2327028.535110957,2327050.2055154108,327.5665563353545,312.38004454289313,station,station
Mercury,2327149.055336385,2327173.0953168804,87.26823609576965,78.49435782935646,station,station
Mercury,2327268.315860032,2327289.4258727785,206.4918448204722,190.94546581935742,station,station
Mercury,2327377.2973264493,2327398.244974983,311.31993043497806,295.5284577058012,station,station
Mercury,2327494.635464495,2327518.4997173343,67.26878560049674,58.675481345072,station,station
Mercury,2327616.3585108845,2327638.242432923,190.09005820528344,175.0753068967333,station,station
Mercury,2327726.1826783046,2327746.5337709924,295.27279030768057,279.1426830757807,station,station
Mercury,2327840.2961257156,2327864.13045125,47.75246524237168,38.46204319602082,station,station
Mercury,2327964.1429038467,2327986.8424230656,173.23245132636586,158.98881715649182,station,station
Mercury,2328075.0893339263,2328095.0298250467,279.3525335072215,263.0759522243735,station,station
Mercury,2328186.5556049813,2328210.284930529,29.025297420006684,18.405926484754758,station,station
Mercury,2328311.6356821517,2328335.0826651575,155.77364655756267,142.57692056664754,station,station
Mercury,2328423.943487349,2328443.7017299514,263.5136298735181,247.22142790468558,station,station
Mercury,2328533.6157579366,2328556.9956725407,11.109487757274595,358.9444532715952,station,station
Mercury,2328658.7920028204,2328682.775964115,137.57103353724224,125.67108853180045,station,station
Mercury,2328772.685406425,2328792.513809518,247.69221140227012,231.47831283860285,station,station
Mercury,2328881.3814179217,2328904.193665225,353.865364304883,340.2843870280821,station,station
Mercury,2329005.541459636,2329029.7434770865,118.56948121525507,108.08059454308133,station,station
Mercury,2329121.2690362167,2329141.4221491395,231.82979516925204,215.78338802148616,station,station
Mercury,2329229.666157064,2329251.775033457,337.1123694428568,322.4161833112183,station,station
Mercury,2329351.7773977593,2329375.9129445227,98.86330893253543,89.61119296396444,station,station
Mercury,2329469.657817454,2329490.364725152,215.85078430994423,200.08189588775352,station,station
Mercury,2329578.2944987128,2329599.6596116405,320.71650695011897,305.24105589953297,station,station
Mercury,2329697.502894629,2329721.4753837725,78.8227148911215,70.23551140665897,station,station
Mercury,2329817.8228508187,2329839.257510363,199.64144124403063,184.29920870186564,station,station
Mercury,2329927.1218351936,2329947.8014763845,304.5631400689728,288.60239514320807,station,station
Mercury,2330043.0488260994,2330066.9014365617,58.97843527207999,50.19137179037236,station,station
Mercury,2330165.751008047,2330187.9984255657,183.07857062665326,168.3632924573967,station,station
Mercury,2330276.030579822,2330296.174046102,288.57901069274067,272.3633073789416,station,station
Mercury,2330388.9312177943,2330412.7160079135,39.77163556633236,29.967920752936596,station,station
Mercury,2330513.424389419,2330536.4583280543,165.99256316282418,152.15887512282717,station,station
Mercury,2330624.929009095,2330644.7525364207,272.7014638837886,256.399473985873,station,station
Mercury,2330735.523325268,2330759.1326355664,21.40295253813189,10.12832939580795,station,station
Mercury,2330860.7928946996,2330884.482611685,148.22716681173193,135.5533672911083,station,station
