body,startCelestialTimeDegrees,endCelestialTimeDegrees,startOffsetSeconds,endOffsetSeconds,startJulianDay,endJulianDay,userFacingMotion
Saturn,316.904621297,310.250264864,96599052,108734111,2298289.785456039011,2298430.237528033555,retrograde
NorthNode,319.209144264,318.218209229,96987894,97955878,2298294.285931562074,2298305.489452956244,retrograde
Mercury,88.189085165,79.344432244,97116153,99194517,2298295.770411990583,2298319.825559087098,retrograde
NorthNode,318.241456425,317.216607873,98172772,99179715,2298307.999800377525,2298319.654235843569,retrograde
NorthNode,317.288205649,316.845645557,99542847,100313465,2298323.857152691111,2298332.776345508173,retrograde
Pluto,3.806059055,1.738649416,99847999,114103869,2298327.388999140821,2298492.387495837174,retrograde
NorthNode,316.918901919,316.588871666,100709983,101529318,2298337.365665611811,2298346.848716639914,retrograde
NorthNode,316.672658789,316.618232747,102087485,102682382,2298353.308979975991,2298360.194360666908,retrograde
NorthNode,316.623895553,316.620831901,102999796,103257389,2298363.868130943738,2298366.849532455206,retrograde
NorthNode,316.675499573,316.493580198,103885187,104623933,2298374.115717967041,2298382.666019030847,retrograde
NorthNode,316.565918950,316.196596286,105054233,105817457,2298387.646337619051,2298396.479959147051,retrograde
NorthNode,316.292507443,315.497211163,106239501,107155741,2298401.364718809724,2298411.969349958003,retrograde
Venus,202.486339789,186.756663033,106340702,109961722,2298402.536029851064,2298444.445982987061,retrograde
Mercury,206.994187754,191.400491336,107397398,109214308,2298414.766313344240,2298435.795359864831,retrograde
NorthNode,315.533980433,314.485826879,107412004,108389796,2298414.935360976495,2298426.252390046604,retrograde
NorthNode,314.502857505,313.074783787,108587033,109686173,2298428.535233120434,2298441.256756207906,retrograde
Neptune,105.928922902,103.115280928,109099570,122619406,2298434.467372805811,2298590.946952323429,retrograde
Mars,75.969962189,58.575455577,109266839,115665575,2298436.403350583278,2298510.462797102518,retrograde
NorthNode,313.075664066,311.505682076,109752500,110926449,2298442.024435400963,2298455.611803336069,retrograde
NorthNode,311.505915373,310.066577399,110971541,112085689,2298456.133699185215,2298469.028936565854,retrograde
NorthNode,310.073583566,308.758575901,112220091,113268202,2298470.584514935501,2298482.715422458015,retrograde
NorthNode,308.804563576,308.012528838,113553102,114432827,2298486.012886266224,2298496.194887574762,retrograde
NorthNode,308.075267200,307.507735870,114758668,115617786,2298499.966188800521,2298509.909685029648,retrograde
NorthNode,307.624824050,307.449962133,116128286,116798960,2298515.818252685480,2298523.580684742890,retrograde
Mercury,311.837647078,296.099471271,116807489,118623776,2298523.679399922490,2298544.701243482530,retrograde
NorthNode,307.499980582,307.480903538,117305257,117774176,2298529.440606477670,2298534.867909869179,retrograde
NorthNode,307.482780702,307.399281830,117975702,118691305,2298537.200383136980,2298545.482826513238,retrograde
NorthNode,307.468145772,307.230390323,119174164,119860513,2298551.071473604068,2298559.015322210267,retrograde
NorthNode,307.339285415,306.631750448,120327911,121240646,2298564.425025719218,2298574.989089551382,retrograde
NorthNode,306.683464393,305.871849882,121539285,122424316,2298578.445551468059,2298588.688964330591,retrograde
NorthNode,305.903721059,304.481031439,122673835,123777550,2298591.576915873215,2298604.351402022876,retrograde
NorthNode,304.484655161,303.176857222,123886362,124992469,2298605.610803731717,2298618.412958320230,retrograde
NorthNode,303.176885337,301.596265320,125015012,126220665,2298618.673874726519,2298632.628191582859,retrograde
Jupiter,287.322658560,277.488615966,126217827,136722207,2298632.595346353948,2298754.173823952675,retrograde
NorthNode,301.598026460,300.373369133,126306199,127355247,2298633.618170324713,2298645.759928666055,retrograde
Mercury,68.176076266,59.605721293,126975943,129039016,2298641.369840383530,2298665.247994355857,retrograde
NorthNode,300.392715175,299.359417146,127565290,128560793,2298648.190987801179,2298659.713011597283,retrograde
Uranus,319.151619326,315.230002354,127867015,141188113,2298651.683175251819,2298805.862545114942,retrograde
NorthNode,299.398332533,298.720379437,128828960,129705652,2298662.816796102561,2298672.963693296537,retrograde
Saturn,328.758831975,322.075392354,129233207,141307091,2298667.495575733483,2298807.239608637989,retrograde
NorthNode,298.814335616,298.447853012,130133346,130915915,2298677.913850526325,2298686.971360982396,retrograde
NorthNode,298.517791005,298.361808765,131351901,132062018,2298692.017498963512,2298700.236442031339,retrograde
Pluto,4.876641743,2.814356279,131496031,145758631,2298693.685665405355,2298858.762063686736,retrograde
NorthNode,298.412981910,298.411118728,132695992,132913108,2298707.574110879563,2298710.087019782513,retrograde
NorthNode,298.419778409,298.360718906,133286113,133880313,2298714.404210480861,2298721.281525441445,retrograde
NorthNode,298.441598931,298.089592759,134419276,135251224,2298727.519530025311,2298737.148552786559,retrograde
NorthNode,298.167738463,297.713985919,135654458,136419257,2298741.815610168502,2298750.667458093725,retrograde
NorthNode,297.782054730,296.651705174,136768009,137800105,2298754.703938667662,2298766.649486330338,retrograde
Mercury,190.631665144,175.548507448,137470321,139353605,2298762.832546003163,2298784.629815310240,retrograde
NorthNode,296.674515793,295.661816700,138013341,138972298,2298769.117501973175,2298780.216543810442,retrograde
NorthNode,295.667931578,293.879405509,139108031,140340536,2298781.787524366751,2298796.052622372285,retrograde
NorthNode,293.879420103,292.596818630,140357581,141445749,2298796.249902034178,2298808.844438571483,retrograde
Neptune,108.150816022,105.337612029,140848344,154371726,2298801.930038607679,2298958.450659695081,retrograde
NorthNode,292.599042091,290.997435193,141541132,142688936,2298809.948410102166,2298823.233185674995,retrograde
NorthNode,291.015646393,290.092511588,142880912,143794170,2298825.455130462535,2298836.025239464827,retrograde
NorthNode,290.155545136,289.389269753,144120627,145033125,2298839.803680635057,2298850.364994976670,retrograde
NorthNode,289.468421285,289.144657098,145416092,146154073,2298854.797486575320,2298863.338931702077,retrograde
NorthNode,289.248785941,289.146586213,146705114,147393115,2298869.716728869826,2298877.679697178304,retrograde
Mercury,295.763645000,279.662847508,146950193,148713525,2298872.553287416697,2298892.962218813598,retrograde
NorthNode,289.157273270,289.156165319,147783295,147949482,2298882.195667675696,2298884.119129764847,retrograde
NorthNode,289.197038685,288.998580023,148517600,149286319,2298890.694569338113,2298899.591784056276,retrograde
NorthNode,289.094550558,288.738641418,149764934,150487420,2298905.131311650388,2298913.493408921175,retrograde
NorthNode,288.821270833,287.853727567,150870114,151858113,2298917.922748532146,2298929.357921141200,retrograde
NorthNode,287.894851890,286.988115132,152127773,153031786,2298932.478981956840,2298942.942090285942,retrograde
NorthNode,287.002050341,285.267180623,153210434,154415874,2298945.009780236520,2298958.961632755585,retrograde
NorthNode,285.267750719,284.060117204,154475055,155545583,2298959.646591679193,2298972.036970642395,retrograde
NorthNode,284.060281751,282.329455071,155585108,156810159,2298972.494430385530,2298986.673265349120,retrograde
Mercury,48.588723048,39.408536765,156837408,158897676,2298986.988641194999,2299010.834337033331,retrograde
NorthNode,282.337991585,281.399178981,156960600,157892301,2298988.414478464983,2298999.198060248978,retrograde
Venus,64.327828996,47.820071263,156981983,160691488,2298988.661962958053,2299031.596048841253,retrograde
NorthNode,281.431477083,280.432980242,158143102,159150093,2299002.100841561332,2299013.755837752484,retrograde
NorthNode,280.496425524,280.076865041,159491774,160251449,2299017.710476909764,2299026.503013588488,retrograde
Uranus,323.166989604,319.247564062,159784447,173096829,2299021.097896429710,2299175.176384099759,retrograde
NorthNode,280.169789932,279.895617720,160706811,161501945,2299031.773402934894,2299040.976341220550,retrograde
Jupiter,322.102327335,312.250212765,160939277,171285421,2299034.463983826339,2299154.211023479700,retrograde
Saturn,340.877717059,334.158858606,161891404,173899320,2299045.483973309398,2299184.464481711388,retrograde
NorthNode,279.957115631,279.914065345,162015087,162612937,2299046.915483935736,2299053.835051449947,retrograde
NorthNode,279.915389639,279.898897578,162800423,163273381,2299056.005018030293,2299061.479072140530,retrograde
Pluto,5.942549841,3.885111645,163138214,177419597,2299059.914637790062,2299225.208430741914,retrograde
NorthNode,279.961313899,279.801782123,163865444,164535667,2299068.331657967530,2299076.088867973536,retrograde
NorthNode,279.880161300,279.380010064,164978063,165841140,2299081.209188966081,2299091.198507024907,retrograde
NorthNode,279.459802775,278.831504366,166228196,167059846,2299095.678326940164,2299105.303903392516,retrograde
NorthNode,278.869934869,277.560073919,167325953,168407341,2299108.383837455884,2299120.899902028032,retrograde
Mercury,173.838984533,159.500248886,167521314,169475425,2299110.644963346422,2299133.261988408864,retrograde
NorthNode,277.572567174,276.458178286,168582416,169592627,2299122.926240773872,2299134.618489868008,retrograde
NorthNode,276.459139931,274.596788377,169662919,170922611,2299135.432064165361,2299150.011827745475,retrograde
NorthNode,274.597078535,273.438548377,170970408,171999960,2299150.565032836981,2299162.481150760315,retrograde
NorthNode,273.445777472,271.932387962,172139593,173259835,2299164.097264240496,2299177.063033794053,retrograde
Neptune,110.371269589,107.559082137,172597932,186117736,2299169.402119689621,2299325.881333057769,retrograde
