directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
282,282,282,direct,2448593.055837285,13082801613
282.2,282.2,282,direct,2448596.793937276,13083124585
282.40000000000003,282.40000000000003,282,direct,2448600.4383808794,13083439465
282.6,282.6,282,direct,2448604.0088114613,13083747950
282.8,282.8,282,direct,2448607.518441451,13084051182
283,283,283,direct,2448610.975988881,13084349914
283.2,283.2,283,direct,2448614.392842693,13084645131
283.40000000000003,283.40000000000003,283,direct,2448617.7819943163,13084937953
283.6,283.6,283,direct,2448621.1490389626,13085228866
283.8,283.8,283,direct,2448624.499964351,13085518386
284,284,284,direct,2448627.8486554762,13085807713
284.2,284.2,284,direct,2448631.1985909636,13086097147
284.40000000000003,284.40000000000003,284,direct,2448634.56203075,13086387748
284.6,284.6,284,direct,2448637.9439342613,13086679945
284.8,284.8,284,direct,2448641.3527443423,13086974466
285,285,285,direct,2448644.8017021315,13087272456
285.2,285.2,285,direct,2448648.298488935,13087574578
285.40000000000003,285.40000000000003,285,direct,2448651.851706262,13087881576
285.6,285.6,285,direct,2448655.4770648186,13088194807
285.8,285.8,285,direct,2448659.193163096,13088515878
286,286,286,direct,2448663.01779105,13088846326
286.2,286.2,286,direct,2448666.9702962516,13089187823
286.40000000000003,286.40000000000003,286,direct,2448671.083093995,13089543168
286.6,286.6,286,direct,2448675.3957055826,13089915778
286.8,286.8,286,direct,2448679.9519272945,13090309436
287,287,287,direct,2448684.8315669037,13090731036
287.2,287.2,287,direct,2448690.152544456,13091190769
287.40000000000003,287.40000000000003,287,direct,2448696.0940297963,13091704113
287.6,287.6,287,direct,2448703.030286788,13092303406
287.8,287.8,287,direct,2448711.846548786,13093065131
288,288,288,direct,2448728.278523971,13094484853
648,288,648,retrograde,2448740.6280321367,13095551851
647.8,287.79999999999995,647,retrograde,2448757.3831155878,13096999490
647.6,287.6,647,retrograde,2448766.636985511,13097799025
647.4000000000001,287.4000000000001,647,retrograde,2448774.023641545,13098437232
647.2,287.20000000000005,647,retrograde,2448780.4781241086,13098994899
647,287,647,retrograde,2448786.36301499,13099503354
646.8,286.79999999999995,646,retrograde,2448791.885518494,13099980498
646.6,286.6,646,retrograde,2448797.152072618,13100435528
646.4000000000001,286.4000000000001,646,retrograde,2448802.254113318,13100876344
646.2,286.20000000000005,646,retrograde,2448807.258479342,13101308722
646,286,646,retrograde,2448812.2156006196,13101737017
645.8,285.79999999999995,645,retrograde,2448817.187610642,13102166599
645.6,285.6,645,retrograde,2448822.216653167,13102601108
645.4000000000001,285.4000000000001,645,retrograde,2448827.3576395777,13103045289
645.2,285.20000000000005,645,retrograde,2448832.689029375,13103505921
645,285,645,retrograde,2448838.2948537995,13103990264
644.8,284.79999999999995,644,retrograde,2448844.3285272727,13104511574
644.6,284.6,644,retrograde,2448851.0105948076,13105088904
644.4000000000001,284.4000000000001,644,retrograde,2448858.8063401342,13105762457
644.2,284.20000000000005,644,retrograde,2448869.0447856323,13106647059
284.2,284.2,284,direct,2448907.6037899395,13109978556
284.40000000000003,284.40000000000003,284,direct,2448917.450193282,13110829286
284.6,284.6,284,direct,2448924.8025764013,13111464532
284.8,284.8,284,direct,2448930.984072185,13111998613
285,285,285,direct,2448936.466881987,13112472328
285.2,285.2,285,direct,2448941.4647157034,13112904140
285.40000000000003,285.40000000000003,285,direct,2448946.114834167,13113305911
285.6,285.6,285,direct,2448950.4951087143,13113684366
285.8,285.8,285,direct,2448954.6607533935,13114044278
286,286,286,direct,2448958.660499653,13114389856
286.2,286.2,286,direct,2448962.5251472318,13114723762
286.40000000000003,286.40000000000003,286,direct,2448966.2755928338,13115047800
286.6,286.6,286,direct,2448969.9325424936,13115363761
286.8,286.8,286,direct,2448973.5155466637,13115673332
287,287,287,direct,2448977.034817087,13115977397
287.2,287.2,287,direct,2448980.500632326,13116276844
287.40000000000003,287.40000000000003,287,direct,2448983.927202452,13116572899
287.6,287.6,287,direct,2448987.325940994,13116866550
287.8,287.8,287,direct,2448990.704197175,13117158432
288,288,288,direct,2448994.0679613953,13117449061
288.2,288.2,288,direct,2448997.430294125,13117739566
288.40000000000003,288.40000000000003,288,direct,2449000.795212559,13118030295
288.6,288.6,288,direct,2449004.1716601662,13118322020
