directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
455.8,95.80000000000001,455,retrograde,2356957.6987059303,5165506757
455.7,95.69999999999999,455,retrograde,2356961.433495727,5165829443
455.6,95.60000000000002,455,retrograde,2356965.2846155833,5166162180
455.5,95.5,455,retrograde,2356969.279762805,5166507361
455.4,95.39999999999998,455,retrograde,2356973.478318811,5166870116
455.3,95.30000000000001,455,retrograde,2356977.951063689,5167256561
455.2,95.19999999999999,455,retrograde,2356982.786616773,5167674353
455.1,95.10000000000002,455,retrograde,2356988.1642488088,5168138980
455,95,455,retrograde,2356994.431887564,5168680504
454.9,94.89999999999998,454,retrograde,2357002.4551006416,5169373710
94.9,94.9,94,direct,2357040.0904508196,5172625404
95,95,95,direct,2357047.9996806984,5173308761
95.10000000000001,95.10000000000001,95,direct,2357054.14211422,5173839468
95.2,95.2,95,direct,2357059.365001695,5174290725
95.30000000000001,95.30000000000001,95,direct,2357064.0317207747,5174693930
95.4,95.4,95,direct,2357068.305067851,5175063147
95.5,95.5,95,direct,2357072.2779465723,5175406404
95.60000000000001,95.60000000000001,95,direct,2357076.023173981,5175729991
95.7,95.7,95,direct,2357079.5895342054,5176038125
95.80000000000001,95.80000000000001,95,direct,2357083.0016924446,5176332935
95.9,95.9,95,direct,2357086.28731743,5176616813
96,96,96,direct,2357089.4728055573,5176892039
96.10000000000001,96.10000000000001,96,direct,2357092.573492833,5177159939
96.2,96.2,96,direct,2357095.598858301,5177421330
96.30000000000001,96.30000000000001,96,direct,2357098.5575941997,5177676965
96.4,96.4,96,direct,2357101.460772343,5177927800
96.5,96.5,96,direct,2357104.319468034,5178174791
96.60000000000001,96.60000000000001,96,direct,2357107.139268365,5178418422
96.7,96.7,96,direct,2357109.922405919,5178658885
96.80000000000001,96.80000000000001,96,direct,2357112.675106478,5178896718
96.9,96.9,96,direct,2357115.4063528026,5179132698
97,97,97,direct,2357118.122207676,5179367348
97.10000000000001,97.10000000000001,97,direct,2357120.8257127907,5179600931
97.2,97.2,97,direct,2357123.51886861,5179833619
97.30000000000001,97.30000000000001,97,direct,2357126.2051387443,5180065713
97.4,97.4,97,direct,2357128.8932574675,5180297966
97.5,97.5,97,direct,2357131.583288013,5180530385
97.60000000000001,97.60000000000001,97,direct,2357134.2819099706,5180763546
97.7,97.7,97,direct,2357136.9895859286,5180997489
97.80000000000001,97.80000000000001,97,direct,2357139.7106500957,5181232589
97.9,97.9,97,direct,2357142.4530947222,5181469536
98,98,98,direct,2357145.22379599,5181708925
98.10000000000001,98.10000000000001,98,direct,2357148.027011889,5181951123
98.2,98.2,98,direct,2357150.8662831774,5182196436
98.30000000000001,98.30000000000001,98,direct,2357153.7467734036,5182445310
98.4,98.4,98,direct,2357156.6779439542,5182698563
98.5,98.5,98,direct,2357159.6717340453,5182957227
98.60000000000001,98.60000000000001,98,direct,2357162.7348901294,5183221884
98.7,98.7,98,direct,2357165.874936913,5183493184
98.80000000000001,98.80000000000001,98,direct,2357169.109691605,5183772666
98.9,98.9,98,direct,2357172.462011955,5184062307
99,99,99,direct,2357175.9533780743,5184363961
99.10000000000001,99.10000000000001,99,direct,2357179.6077749627,5184679701
99.2,99.2,99,direct,2357183.463202009,5185012810
99.30000000000001,99.30000000000001,99,direct,2357187.5837352737,5185368824
99.4,99.4,99,direct,2357192.0416289214,5185753986
99.5,99.5,99,direct,2357196.963118507,5186179202
99.60000000000001,99.60000000000001,99,direct,2357202.6062170602,5186666766
99.7,99.7,99,direct,2357209.472826893,5187260041
99.80000000000001,99.80000000000001,99,direct,2357219.39265942,5188117115
459.8,99.80000000000001,459,retrograde,2357245.56635308,5190378522
459.7,99.69999999999999,459,retrograde,2357255.597348423,5191245200
459.6,99.60000000000002,459,retrograde,2357262.5751560885,5191848083
459.5,99.5,459,retrograde,2357268.350846501,5192347102
459.4,99.39999999999998,459,retrograde,2357273.4379519834,5192786628
459.3,99.30000000000001,459,retrograde,2357278.089074412,5193188485
459.2,99.19999999999999,459,retrograde,2357282.414171413,5193562173
459.1,99.10000000000002,459,retrograde,2357286.5051266346,5193915632
459,99,459,retrograde,2357290.427518603,5194254527
458.9,98.89999999999998,458,retrograde,2357294.218470218,5194582065
458.8,98.80000000000001,458,retrograde,2357297.9067352554,5194900731
458.7,98.69999999999999,458,retrograde,2357301.5282283933,5195213628
458.6,98.60000000000002,458,retrograde,2357305.105356307,5195522692
458.5,98.5,458,retrograde,2357308.64794793,5195828772
458.4,98.39999999999998,458,retrograde,2357312.1762942406,5196133621
458.3,98.30000000000001,458,retrograde,2357315.7145639937,5196439327
458.2,98.19999999999999,458,retrograde,2357319.282374214,5196747586
458.1,98.10000000000002,458,retrograde,2357322.8934974754,5197059587
458,98,458,retrograde,2357326.5714499257,5197377362
457.9,97.89999999999998,457,retrograde,2357330.3517994126,5197703984
457.8,97.80000000000001,457,retrograde,2357334.2592040603,5198041584
457.7,97.69999999999999,457,retrograde,2357338.3257695856,5198392936
457.6,97.60000000000002,457,retrograde,2357342.6146608596,5198763496
457.5,97.5,457,retrograde,2357347.211185582,5199160635
457.4,97.39999999999998,457,retrograde,2357352.226453958,5199593955
457.3,97.30000000000001,457,retrograde,2357357.8983658208,5200084008
457.2,97.19999999999999,457,retrograde,2357364.6769503076,5200669678
457.1,97.10000000000002,457,retrograde,2357374.019523363,5201476876
97.10000000000001,97.10000000000001,97,direct,2357403.570184273,5204030053
97.2,97.2,97,direct,2357412.8123632693,5204828577
97.30000000000001,97.30000000000001,97,direct,2357419.465119367,5205403375
97.4,97.4,97,direct,2357424.996178713,5205881259
97.5,97.5,97,direct,2357429.8523172364,5206300829
97.60000000000001,97.60000000000001,97,direct,2357434.2643654468,5206682030
97.7,97.7,97,direct,2357438.341889064,5207034328
97.80000000000001,97.80000000000001,97,direct,2357442.1638038084,5207364542
97.9,97.9,97,direct,2357445.7947600703,5207678256
98,98,98,direct,2357449.2674082043,5207978293
