directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
493,133,493,retrograde,2522498.516513006,19468233416
133,133,133,direct,2522533.9717548,19471296749
133.1,133.1,133,direct,2522543.941764727,19472158157
133.20000000000002,133.20000000000002,133,direct,2522551.2834995273,19472792483
133.3,133.3,133,direct,2522557.442825918,19473324649
133.4,133.4,133,direct,2522562.89299524,19473795544
133.5,133.5,133,direct,2522567.869825465,19474225542
133.6,133.6,133,direct,2522572.4815438823,19474623994
133.70000000000002,133.70000000000002,133,direct,2522576.8352275086,19475000153
133.8,133.8,133,direct,2522580.985575838,19475358743
133.9,133.9,133,direct,2522584.9646439147,19475702534
134,134,134,direct,2522588.809576948,19476034736
134.1,134.1,134,direct,2522592.5490803863,19476357830
134.20000000000002,134.20000000000002,134,direct,2522596.1952590123,19476672859
134.3,134.3,134,direct,2522599.75908825,19476980774
134.4,134.4,134,direct,2522603.266109787,19477283781
134.5,134.5,134,direct,2522606.7294785483,19477583016
134.6,134.6,134,direct,2522610.1528723557,19477878797
134.70000000000002,134.70000000000002,134,direct,2522613.5464288983,19478172000
134.8,134.8,134,direct,2522616.923857797,19478463810
134.9,134.9,134,direct,2522620.2950797225,19478755084
135,135,135,direct,2522623.6619550176,19479045982
135.1,135.1,135,direct,2522627.029432942,19479336932
135.20000000000002,135.20000000000002,135,direct,2522630.4151273016,19479629456
135.3,135.3,135,direct,2522633.830399696,19479924536
135.4,135.4,135,direct,2522637.278180966,19480222424
135.5,135.5,135,direct,2522640.768848167,19480524018
135.6,135.6,135,direct,2522644.3193583945,19480830782
135.70000000000002,135.70000000000002,135,direct,2522647.9451312264,19481144048
135.8,135.8,135,direct,2522651.6533619035,19481464439
135.9,135.9,135,direct,2522655.461841828,19481793492
136,136,136,direct,2522659.407722203,19482134416
136.1,136.1,136,direct,2522663.517635163,19482489513
136.20000000000002,136.20000000000002,136,direct,2522667.8252870794,19482861694
136.3,136.3,136,direct,2522672.3967509484,19483256668
136.4,136.4,136,direct,2522677.3161489544,19483681704
136.5,136.5,136,direct,2522682.689951071,19484146001
136.6,136.6,136,direct,2522688.7769224765,19484671915
136.70000000000002,136.70000000000002,136,direct,2522696.031359658,19485298698
136.8,136.8,136,direct,2522705.9266272667,19486153650
496.8,136.8,496,retrograde,2522740.3663173886,19489129239
496.70000000000005,136.70000000000005,496,retrograde,2522750.3622128787,19489992884
496.6,136.60000000000002,496,retrograde,2522757.7570769796,19490631800
496.5,136.5,496,retrograde,2522764.028053304,19491173613
496.4,136.39999999999998,496,retrograde,2522769.618588596,19491656635
496.3,136.3,496,retrograde,2522774.7702587075,19492101739
496.20000000000005,136.20000000000005,496,retrograde,2522779.6192900822,19492520696
496.1,136.10000000000002,496,retrograde,2522784.2420064206,19492920098
496,136,496,retrograde,2522788.7156026796,19493306617
495.9,135.89999999999998,495,retrograde,2522793.0897462377,19493684543
495.8,135.8,495,retrograde,2522797.383081375,19494055487
495.70000000000005,135.70000000000005,495,retrograde,2522801.642439577,19494423496
495.6,135.60000000000002,495,retrograde,2522805.898625503,19494791230
495.5,135.5,495,retrograde,2522810.173088039,19495160544
495.4,135.39999999999998,495,retrograde,2522814.504505383,19495534778
495.3,135.3,495,retrograde,2522818.9411637206,19495918106
495.20000000000005,135.20000000000005,495,retrograde,2522823.506636931,19496312562
495.1,135.10000000000002,495,retrograde,2522828.259090167,19496723174
495,135,495,retrograde,2522833.2796492856,19497156951
494.9,134.89999999999998,494,retrograde,2522838.6592531297,19497621748
494.8,134.8,494,retrograde,2522844.593685875,19498134483
494.70000000000005,134.70000000000005,494,retrograde,2522851.4006975056,19498722609
494.6,134.60000000000002,494,retrograde,2522859.8501813663,19499452645
494.5,134.5,494,retrograde,2522873.6809414933,19500647622
134.5,134.5,134,direct,2522892.392720833,19502264320
134.6,134.6,134,direct,2522906.0982298707,19503448476
134.70000000000002,134.70000000000002,134,direct,2522914.4092557174,19504166549
134.8,134.8,134,direct,2522921.063371109,19504741464
134.9,134.9,134,direct,2522926.8037199937,19505237430
135,135,135,direct,2522931.967467641,19505683578
135.1,135.1,135,direct,2522936.7328678914,19506095309
135.20000000000002,135.20000000000002,135,direct,2522941.189397221,19506480353
135.3,135.3,135,direct,2522945.416829038,19506845603
135.4,135.4,135,direct,2522949.4619466956,19507195101
135.5,135.5,135,direct,2522953.3489202135,19507530936
135.6,135.6,135,direct,2522957.109790528,19507855875
135.70000000000002,135.70000000000002,135,direct,2522960.7778117154,19508172792
135.8,135.8,135,direct,2522964.3620408797,19508482469
135.9,135.9,135,direct,2522967.8755472386,19508786036
136,136,136,direct,2522971.3363128286,19509085046
136.1,136.1,136,direct,2522974.7570363707,19509380597
136.20000000000002,136.20000000000002,136,direct,2522978.1428944343,19509673135
136.3,136.3,136,direct,2522981.498163359,19509963030
136.4,136.4,136,direct,2522984.837386111,19510251539
136.5,136.5,136,direct,2522988.1753301714,19510539938
136.6,136.6,136,direct,2522991.5132218543,19510828331
136.70000000000002,136.70000000000002,136,direct,2522994.857719184,19511117296
136.8,136.8,136,direct,2522998.221772874,19511407950
136.9,136.9,136,direct,2523001.6165109873,19511701256
137,137,137,direct,2523005.0475396095,19511997696
137.1,137.1,137,direct,2523008.5196469817,19512297687
137.20000000000002,137.20000000000002,137,direct,2523012.0491389856,19512602635
137.3,137.3,137,direct,2523015.6582351867,19512914461
137.4,137.4,137,direct,2523019.355474527,19513233902
137.5,137.5,137,direct,2523023.1593465395,19513562557
137.6,137.6,137,direct,2523027.1018672115,19513903190
137.70000000000002,137.70000000000002,137,direct,2523031.2148108245,19514258549
137.8,137.8,137,direct,2523035.5279790987,19514631206
137.9,137.9,137,direct,2523040.103982408,19515026573
138,138,138,direct,2523045.043854594,19515453378
138.1,138.1,138,direct,2523050.466938005,19515921932
138.20000000000002,138.20000000000002,138,direct,2523056.6398366243,19516455271
138.3,138.3,138,direct,2523064.066563902,19517096940
138.4,138.4,138,direct,2523074.4972397108,19517998151
498.4,138.39999999999998,498,retrograde,2523105.5515884217,19520681246
498.3,138.3,498,retrograde,2523116.0871546,19521591519
498.20000000000005,138.20000000000005,498,retrograde,2523123.6786229145,19522247422
498.1,138.10000000000002,498,retrograde,2523130.016641841,19522795027
498,138,498,retrograde,2523135.6490427265,19523281666
497.9,137.89999999999998,497,retrograde,2523140.812901212,19523727824
497.8,137.8,497,retrograde,2523145.6734040705,19524147771
