physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
227.30739116122234,227.30739116122234,227,retrograde,direct,2341436.750770729
268.7298116870341,628.729811687034,628,direct,retrograde,2341711.480223722
258.88980061044504,258.88980061044504,258,retrograde,direct,2341834.0524432333
302.19033207374576,662.1903320737458,662,direct,retrograde,2342111.9894433357
292.35202614647653,292.35202614647653,292,retrograde,direct,2342232.911005201
337.68370816775416,697.6837081677542,697,direct,retrograde,2342514.597984108
327.8127525547148,327.8127525547148,327,retrograde,direct,2342633.6697131274
14.503881929371762,374.50388192937174,374,direct,retrograde,2342917.8837802783
4.5610220757950595,4.5610220757950595,4,retrograde,direct,2343035.6226286683
51.229255806880175,411.2292558068802,411,direct,retrograde,2343320.1432694215
41.204319831518255,41.204319831518255,41,retrograde,direct,2343437.71133441
86.49237178458488,446.49237178458486,446,direct,retrograde,2343720.23249011
76.42418076348804,76.42418076348804,76,retrograde,direct,2343838.643378729
119.70386013555142,479.7038601355514,479,direct,retrograde,2344117.8979645325
109.6431006605226,109.6431006605226,109,retrograde,direct,2344237.8499655854
151.07323736401426,511.0732373640143,511,direct,retrograde,2344513.847282582
141.06000417251434,141.06000417251434,141,retrograde,direct,2344635.386627407
181.2753590780832,541.2753590780832,541,direct,retrograde,2344908.9865216045
171.31906983320542,171.31906983320542,171,retrograde,direct,2345031.8240057603
211.1602253169508,571.1602253169508,571,direct,retrograde,2345304.2649460714
201.25862158098488,201.25862158098488,201,retrograde,direct,2345427.770362165
241.61758060776398,601.617580607764,601,direct,retrograde,2345700.8570317663
231.7572926794184,231.7572926794184,231,retrograde,direct,2345824.203940712
273.46489941071087,633.4648994107108,633,direct,retrograde,2346099.353712865
263.6275871230049,263.6275871230049,263,retrograde,direct,2346221.658726614
307.27042210544494,667.2704221054449,667,direct,retrograde,2346500.30121499
297.43192199766037,297.43192199766037,297,retrograde,direct,2346620.925285507
343.0374398874556,703.0374398874555,703,direct,retrograde,2346903.0338577144
333.15857032683624,333.15857032683624,333,retrograde,direct,2347021.872625067
19.921766143805087,379.9217661438051,379,direct,retrograde,2347306.27953016
9.964391530917297,9.964391530917297,9,retrograde,direct,2347423.9847944137
56.465789474831084,416.46578947483107,416,direct,retrograde,2347708.2740368927
46.432352964698374,46.432352964698374,46,retrograde,direct,2347825.904928526
91.41612113268373,451.4161211326837,451,direct,retrograde,2348107.9132644953
81.34465069203024,81.34465069203024,81,retrograde,direct,2348226.5673335698
124.31717397093443,484.31717397093445,484,direct,retrograde,2348505.3480340512
114.26208409547425,114.26208409547425,114,retrograde,direct,2348625.5027925307
155.4692582459449,515.469258245945,515,direct,retrograde,2348901.0794120403
145.46174032293231,145.46174032293231,145,retrograde,direct,2349022.825505143
185.57895395412592,545.578953954126,545,direct,retrograde,2349296.1722295554
175.63115013955405,175.63115013955405,175,retrograde,direct,2349419.1198069267
215.5100337732642,575.5100337732642,575,direct,retrograde,2349691.677644925
205.6143956556086,205.6143956556086,205,retrograde,direct,2349815.1725567495
246.14064848818225,606.1406484881823,606,direct,retrograde,2350088.4276636997
236.28551758988456,236.28551758988456,236,retrograde,direct,2350211.645453627
278.25583071485295,638.2558307148529,638,direct,retrograde,2350487.3645865135
268.42182315024155,268.42182315024155,268,retrograde,direct,2350609.4486149345
312.34821605770213,672.3482160577021,672,direct,retrograde,2350888.495640015
302.50754735782806,302.50754735782806,302,retrograde,direct,2351008.8821545923
348.302910673619,708.302910673619,708,direct,retrograde,2351291.4362935824
338.4140134292653,338.4140134292653,338,retrograde,direct,2351410.106166969
25.17208842647064,385.1720884264706,385,direct,retrograde,2351694.5217109704
15.204847250186685,15.204847250186685,15,retrograde,direct,2351812.1390892044
61.51087874268698,421.510878742687,421,direct,retrograde,2352096.1421968155
51.46974821442795,51.46974821442795,51,retrograde,direct,2352213.9106128626
96.17298495238015,456.17298495238015,456,direct,retrograde,2352495.5387514597
86.1033501456976,86.1033501456976,86,retrograde,direct,2352614.3447665293
128.82182820400553,488.82182820400556,488,direct,retrograde,2352892.6187761314
118.77305573137563,118.77305573137563,118,retrograde,direct,2353012.9863870554
159.81941796831023,519.8194179683103,519,direct,retrograde,2353288.312309066
149.82266988574952,149.82266988574952,149,retrograde,direct,2353410.2051697187
189.89179777418346,549.8917977741835,549,direct,retrograde,2353683.434202414
179.95161574689266,179.95161574689266,179,retrograde,direct,2353806.451774272
219.89221786110727,579.8922178611073,579,direct,retrograde,2354079.0194400623
210.00416281917825,210.00416281917825,210,retrograde,direct,2354202.5175143518
250.68857568458753,610.6885756845875,610,direct,retrograde,2354476.098745833
240.83619000710723,240.83619000710723,240,retrograde,direct,2354599.2130862055
283.0373768417205,643.0373768417205,643,direct,retrograde,2354875.2200438194
