physical_degree,directional_degree_after,navigation_cell_after,lane_before,lane_after,jd_ut
61.739830266420874,421.7398302664209,421,direct,retrograde,2350984.669997925
58.921505603231566,58.921505603231566,58,retrograde,direct,2351141.4036378963
63.987860031938865,423.98786003193885,423,direct,retrograde,2351352.2114832215
61.170959097503555,61.170959097503555,61,retrograde,direct,2351508.848121384
66.23778062611399,426.237780626114,426,direct,retrograde,2351719.778587481
63.42245400965739,63.42245400965739,63,retrograde,direct,2351876.3922773777
68.48944294641113,428.48944294641115,428,direct,retrograde,2352087.4006964397
65.67475100287864,65.67475100287864,65,retrograde,direct,2352243.899130731
70.74109073273542,430.7410907327354,430,direct,retrograde,2352454.8853627257
67.92659383986418,67.92659383986418,67,retrograde,direct,2352611.4449078543
72.9912795298936,432.99127952989363,432,direct,retrograde,2352822.4564447757
70.17622210862,70.17622210862,70,retrograde,direct,2352978.934939618
75.23898780810943,435.2389878081094,435,direct,retrograde,2353189.9334240817
72.42323681417275,72.42323681417275,72,retrograde,direct,2353346.4253159873
77.48360010906521,437.4836001090652,437,direct,retrograde,2353557.466999557
74.66669029599456,74.66669029599456,74,retrograde,direct,2353713.907094286
79.72481094980392,439.7248109498039,439,direct,retrograde,2353924.8724606764
76.90699908002223,76.90699908002223,76,retrograde,direct,2354081.372261051
81.9627181940214,441.9627181940214,441,direct,retrograde,2354292.384008879
79.14426641623636,79.14426641623636,79,retrograde,direct,2354448.8877736945
84.1982708995404,444.1982708995404,444,direct,retrograde,2354659.85878817
81.37963022678382,81.37963022678382,81,retrograde,direct,2354816.316324522
86.43201713361559,446.4320171336156,446,direct,retrograde,2355027.3652992724
83.6141782258576,83.6141782258576,83,retrograde,direct,2355183.8678060845
88.66557874458204,448.66557874458204,448,direct,retrograde,2355394.9268388385
85.84884026376328,85.84884026376328,85,retrograde,direct,2355551.355502651
90.89963830548956,450.8996383054896,450,direct,retrograde,2355762.40999082
88.08495750688154,88.08495750688154,88,retrograde,direct,2355918.881630549
93.13539896911743,453.13539896911743,453,direct,retrograde,2356129.9975043824
90.32265077155458,90.32265077155458,90,retrograde,direct,2356286.366478795
95.37273010239872,455.3727301023987,455,direct,retrograde,2356497.4895478897
92.56171667905446,92.56171667905446,92,retrograde,direct,2356653.861135165
97.61072992085977,457.61072992085974,457,direct,retrograde,2356865.0307093225
94.80063986010062,94.80063986010062,94,retrograde,direct,2357021.351150167
99.84827378171408,459.84827378171406,459,direct,retrograde,2357232.4474087358
97.03872243020808,97.03872243020808,97,retrograde,direct,2357388.8174770325
102.08409464658003,462.08409464658,462,direct,retrograde,2357599.9521257197
99.27446118868944,99.27446118868944,99,retrograde,direct,2357756.319551058
104.31767038578992,464.31767038578994,464,direct,retrograde,2357967.3869539825
